2026-09-10 15:37:28 | INFO | bdc.comercializadoras | Carregando Mapping de Comercializadoras: C:\Users\C807951\Desktop\BDC\ENTRADAS\control\mappings\mapping_fichas_comercializadoras.json
2026-09-10 15:37:28 | INFO | bdc.comercializadoras | Mapping de Comercializadoras carregado e validado com sucesso. Quantidade de registros: 45
2026-09-10 15:37:28 | INFO | bdc.comercializadoras | Iniciando carga dos layouts de comercializadoras.
2026-09-10 15:37:28 | INFO | bdc.comercializadoras | Layouts de comercializadoras carregados com sucesso. Quantidade: 7
2026-09-10 15:37:28 | INFO | bdc.comercializadoras | Nenhuma base de Carga Manual encontrada em C:\Users\C807951\Desktop\BDC\SAIDAS\silver\governanca_carga_manual\eventos_manuais_consolidados.parquet
2026-09-10 15:37:28 | INFO | bdc.comercializadoras | Iniciando processamento: 751 fichas detectadas.
2026-09-10 15:37:28 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo 2W ENERGIA 05_07_2022.xlsx em modo incremental.
2026-09-10 15:37:28 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:37:28 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=08773135000100
2026-09-10 15:37:28 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=08773135000100 ERROS=0 AVISOS=0
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo 2W ENERGIA_28.08.2024.xlsx em modo incremental.
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=08773135000100
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=08773135000100 ERROS=0 AVISOS=0
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo 2W_13062023 - Copia.xlsx em modo incremental.
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=08773135000100
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=08773135000100 ERROS=0 AVISOS=0
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo 2W_18_06_2021.xlsx em modo incremental.
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=08773135000100
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=08773135000100 ERROS=0 AVISOS=0
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ABC 14072026.xlsx em modo incremental.
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=29198324000168
2026-09-10 15:37:29 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=29198324000168 ERROS=0 AVISOS=0
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ABC 29.07.2024.xlsx em modo incremental.
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=29198324000168
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=29198324000168 ERROS=0 AVISOS=0
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ABC BRASIL 15102025.xlsx em modo incremental.
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=29198324000168
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=29198324000168 ERROS=0 AVISOS=0
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ADN 02062026.xlsx em modo incremental.
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=20591154000102
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=20591154000102 ERROS=0 AVISOS=0
2026-09-10 15:37:30 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo AES BRASIL 09_05_2022 TESTE GRUPO.xlsx em modo incremental.
2026-09-10 15:37:31 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo AES_05012024.xlsx em modo incremental.
2026-09-10 15:37:31 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:37:31 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=43412008000178
2026-09-10 15:37:31 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=43412008000178 ERROS=0 AVISOS=0
2026-09-10 15:37:31 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo AES_19.06.2024.xlsx em modo incremental.
2026-09-10 15:37:31 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
