2026-09-16 13:36:18 | INFO | bdc.consumidores | Carregando Mapping de Consumidores: C:\Users\C807951\Desktop\BDC\ENTRADAS\control\mappings\mapping_fichas_consumidores.json
2026-09-16 13:36:18 | INFO | bdc.consumidores | Mapping de Consumidores carregado e validado com sucesso. Quantidade de registros: 27
2026-09-16 13:36:18 | INFO | bdc.consumidores | Iniciando carga dos layouts de consumidores.
2026-09-16 13:36:18 | DEBUG | bdc.consumidores | Layout 'layout_ficha_consumidor_v1' - Campo 'DADOS_CADASTRAIS': sem âncora estática. Retornará vazio.
2026-09-16 13:36:18 | DEBUG | bdc.consumidores | Layout 'layout_ficha_consumidor_v2' - Campo 'DADOS_CADASTRAIS': sem âncora estática. Retornará vazio.
2026-09-16 13:36:18 | INFO | bdc.consumidores | Layouts de consumidores carregados com sucesso. Quantidade: 2
2026-09-16 13:36:18 | INFO | bdc.consumidores | Lendo master catalog consumidores: C:\Users\C807951\Desktop\BDC\ENTRADAS\control\quality\master_catalog_consumidores.json
2026-09-16 13:36:18 | INFO | bdc.consumidores | Nenhuma base de Carga Manual encontrada em C:\Users\C807951\Desktop\BDC\SAIDAS\silver\governanca_carga_manual\eventos_manuais_consolidados.parquet
2026-09-16 13:36:18 | INFO | bdc.consumidores | Iniciando processamento de 729 fichas (729 normais, 0 reprocessamento).
2026-09-16 13:36:18 | INFO | bdc.consumidores | Iniciando processamento do arquivo 3R PETROLEUM  22042024.xlsx em modo incremental.
2026-09-16 13:36:18 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para 3R PETROLEUM  22042024.xlsx.
2026-09-16 13:36:18 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:36:18 | INFO | bdc.consumidores | Classificação documental para 3R PETROLEUM  22042024.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:36:18 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=12091809000155
2026-09-16 13:36:18 | INFO | bdc.consumidores | Validação concluída. CNPJ=12091809000155 ERROS=0 AVISOS=0
2026-09-16 13:36:18 | INFO | bdc.consumidores | Validação condicional concluída para 12091809000155. Tipo=detalhada ERROS=3 AVISOS=1
2026-09-16 13:36:18 | INFO | bdc.consumidores | Ficha processada com sucesso: 3R PETROLEUM  22042024.xlsx.
2026-09-16 13:36:18 | INFO | bdc.consumidores | Iniciando processamento do arquivo 3R PETROLEUM 13082025.xlsx em modo incremental.
2026-09-16 13:36:18 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para 3R PETROLEUM 13082025.xlsx.
2026-09-16 13:36:18 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:36:18 | INFO | bdc.consumidores | Classificação documental para 3R PETROLEUM 13082025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:36:18 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=12091809000155
2026-09-16 13:36:18 | INFO | bdc.consumidores | Validação concluída. CNPJ=12091809000155 ERROS=0 AVISOS=1
2026-09-16 13:36:18 | INFO | bdc.consumidores | Validação condicional concluída para 12091809000155. Tipo=detalhada ERROS=2 AVISOS=2
2026-09-16 13:36:18 | INFO | bdc.consumidores | Ficha processada com sucesso: 3R PETROLEUM 13082025.xlsx.
2026-09-16 13:36:18 | INFO | bdc.consumidores | Iniciando processamento do arquivo 3R PETROLEUM RATING 19112025.xlsx em modo incremental.
2026-09-16 13:36:19 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_2 identificado para 3R PETROLEUM RATING 19112025.xlsx.
2026-09-16 13:36:19 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:36:19 | INFO | bdc.consumidores | Classificação documental para 3R PETROLEUM RATING 19112025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:36:19 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=12091809000155
2026-09-16 13:36:19 | INFO | bdc.consumidores | Validação concluída. CNPJ=12091809000155 ERROS=0 AVISOS=1
2026-09-16 13:36:19 | INFO | bdc.consumidores | Validação condicional concluída para 12091809000155. Tipo=detalhada ERROS=1 AVISOS=1
2026-09-16 13:36:19 | INFO | bdc.consumidores | Iniciando processamento do arquivo A 100 ROW Serviços de Dados 10082023.xlsx em modo incremental.
2026-09-16 13:36:19 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para A 100 ROW Serviços de Dados 10082023.xlsx.
2026-09-16 13:36:19 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:36:19 | INFO | bdc.consumidores | Classificação documental para A 100 ROW Serviços de Dados 10082023.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:36:19 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=12147176000150
2026-09-16 13:36:19 | INFO | bdc.consumidores | Validação concluída. CNPJ=12147176000150 ERROS=0 AVISOS=1
2026-09-16 13:36:19 | INFO | bdc.consumidores | Validação condicional concluída para 12147176000150. Tipo=detalhada ERROS=2 AVISOS=2
